"age,income,loanamount,creditscore,yearsexperience,gender,education,city,employmenttype,loanapproved,income_loan_ratio,risklevel,experiencegroup,incomegroup"
"57,52474.0,17646.0,799.0,36,Female,High School,San Francisco,Self-Employed,1,2.973705088972005,Low Risk,Expert,Medium"
"21,39585.0,14486.0,522.0,5,Female,Phd,Chicago,Self-Employed,0,2.7326384094988265,High Risk,Junior,Medium"
"19,54950.0,8782.0,561.0,17,Female,Bachelors,San Francisco,Salaried,0,6.2571168298792985,High Risk,Senior,Medium"
"23,34883.0,22945.0,834.0,21,Male,Bachelors,New York,Salaried,0,1.5202876443669644,Low Risk,Expert,Medium"
"59,33244.0,26703.0,675.0,17,Male,Bachelors,Houston,Salaried,0,1.2449537505149235,Low Risk,Senior,Medium"
"21,51494.0,30311.0,360.0,1,Male,Masters,Chicago,Unemployed,0,1.6988552010821154,High Risk,Fresher,Medium"
"46,25104.0,11115.0,655.0,31,Female,High School,Chicago,Salaried,0,2.258569500674764,Low Risk,Expert,Low"
"35,17828.0,30924.0,323.0,16,Male,Phd,San Francisco,Unemployed,0,0.5765101539257534,High Risk,Senior,Low"
"43,57992.0,19547.0,592.0,0,Female,Masters,New York,Salaried,0,2.9667979741136747,High Risk,,Medium"
"61,65735.0,20213.0,655.0,8,Male,Masters,San Francisco,Unemployed,0,3.25211497551081,Low Risk,Mid,High"
"51,42998.0,27149.0,328.0,12,Female,Bachelors,Chicago,Salaried,0,1.5837784080444952,High Risk,Senior,Medium"
"27,39979.0,15672.0,656.0,35,Male,Masters,Houston,Unemployed,0,2.550982644206228,Low Risk,Expert,Medium"
"53,65083.0,2690.0,664.0,36,Female,High School,San Francisco,Self-Employed,1,24.19442379182156,Low Risk,Expert,High"
"31,32817.0,25639.0,708.0,29,Female,Masters,New York,Unemployed,0,1.279964117165256,Low Risk,Expert,Medium"
"48,29549.0,22789.0,565.0,30,Female,Masters,San Francisco,Unemployed,0,1.2966343411294923,High Risk,Expert,Low"
"65,60615.0,17118.0,590.0,22,Female,Bachelors,San Francisco,Self-Employed,1,3.5410094637223977,High Risk,Expert,High"
"32,50136.0,24980.0,452.0,27,Male,Bachelors,San Francisco,Salaried,0,2.0070456365092073,High Risk,Expert,Medium"
"25,65973.0,26616.0,518.0,9,Female,Masters,Houston,Self-Employed,0,2.478697024346258,High Risk,Mid,High"
"31,17896.0,7904.0,472.0,24,Male,Bachelors,New York,Self-Employed,0,2.26417004048583,High Risk,Expert,Low"
"40,28990.0,20180.0,311.0,35,Male,Bachelors,New York,Self-Employed,0,1.4365708622398414,High Risk,Expert,Low"
"57,50215.0,1779.0,815.0,25,Female,Phd,Chicago,Unemployed,0,28.2265317594154,Low Risk,Expert,Medium"
"38,56265.0,19010.0,661.0,25,Female,Phd,Chicago,Self-Employed,1,2.959758022093635,Low Risk,Expert,Medium"
"33,62705.0,17018.0,776.0,12,Male,Masters,San Francisco,Salaried,1,3.6846280408978727,Low Risk,Senior,High"
"62,52622.0,23935.0,381.0,16,Male,High School,Chicago,Unemployed,0,2.198537706287863,High Risk,Senior,Medium"
"35,52470.0,11416.0,639.0,39,Male,High School,New York,Unemployed,0,4.596180798878767,Low Risk,Expert,Medium"
"64,44159.0,16628.0,740.0,3,Male,Bachelors,San Francisco,Self-Employed,1,2.655701226846283,Low Risk,Junior,Medium"
"41,73864.0,-5728.0,525.0,22,Male,High School,Chicago,Unemployed,0,-12.895251396648044,High Risk,Expert,High"
"43,33455.0,24460.0,670.0,34,Male,High School,Houston,Salaried,0,1.3677432542927228,Low Risk,Expert,Medium"
"42,55385.0,19293.0,327.0,10,Male,Masters,Chicago,Unemployed,0,2.8707303166951745,High Risk,Mid,Medium"
"62,35183.0,20698.0,315.0,11,Female,Bachelors,Houston,Self-Employed,0,1.6998260701517054,High Risk,Senior,Medium"
"58,58022.0,8053.0,576.0,8,Male,High School,Chicago,Self-Employed,0,7.205016763938905,High Risk,Mid,Medium"
"46,34445.0,23184.0,632.0,14,Male,Phd,New York,Self-Employed,0,1.485722912353347,Low Risk,Senior,Medium"
"32,61157.0,33222.0,782.0,36,Female,Bachelors,Chicago,Unemployed,0,1.8408584672807176,Low Risk,Expert,High"
"62,51682.0,18521.0,587.0,4,Male,Bachelors,Houston,Self-Employed,0,2.7904540791533936,High Risk,Junior,Medium"
"18,76170.0,25201.0,413.0,18,Male,Bachelors,Houston,Unemployed,0,3.0224991071782865,High Risk,Senior,High"
"42,45785.0,13035.0,337.0,10,Female,Phd,Chicago,Self-Employed,0,3.5124664365170695,High Risk,Mid,Medium"
"24,56374.0,19385.0,753.0,8,Male,High School,San Francisco,Self-Employed,1,2.9081248387928813,Low Risk,Mid,Medium"
"26,38305.0,7749.0,465.0,34,Male,Phd,Houston,Self-Employed,0,4.943218479803845,High Risk,Expert,Medium"
"41,45682.0,26305.0,504.0,26,Female,Bachelors,New York,Salaried,0,1.7366280174871698,High Risk,Expert,Medium"
"18,51586.0,21279.0,544.0,12,Female,Bachelors,Chicago,Salaried,0,2.4242680577094786,High Risk,Senior,Medium"
"61,27092.0,10246.0,632.0,11,Male,Masters,Houston,Self-Employed,0,2.644153816123365,Low Risk,Senior,Low"
"25,28736.0,13585.0,695.0,8,Female,Bachelors,Chicago,Self-Employed,0,2.115274199484726,Low Risk,Mid,Low"
"41,58998.0,20489.0,579.0,27,Female,Masters,Chicago,Unemployed,0,2.879496315095905,High Risk,Expert,Medium"
"28,47809.0,27391.0,420.0,12,Male,Masters,San Francisco,Unemployed,0,1.7454273301449381,High Risk,Senior,Medium"
"68,41106.0,31836.0,558.0,19,Female,Bachelors,Chicago,Salaried,0,1.2911797964568412,High Risk,Senior,Medium"
"34,38945.0,18927.0,709.0,12,Female,Phd,Chicago,Unemployed,0,2.0576425212659166,Low Risk,Senior,Medium"
"25,39523.0,9083.0,609.0,26,Male,Masters,Chicago,Unemployed,0,4.351315644610811,Low Risk,Expert,Medium"
"52,51688.0,21908.0,367.0,25,Male,Phd,New York,Unemployed,0,2.359320796056235,High Risk,Expert,Medium"
"52,56676.0,34279.0,413.0,28,Female,Masters,Chicago,Unemployed,0,1.6533737856996995,High Risk,Expert,Medium"
"50,18618.0,7018.0,519.0,28,Female,High School,New York,Salaried,0,2.652892561983471,High Risk,Expert,Low"
"22,71193.0,12363.0,519.0,21,Male,Masters,Chicago,Salaried,0,5.7585537490900265,High Risk,Expert,High"
"59,70126.0,24888.0,772.0,8,Male,Bachelors,San Francisco,Unemployed,0,2.817663130826101,Low Risk,Mid,High"
"56,15040.0,21229.0,685.0,23,Female,Masters,San Francisco,Unemployed,0,0.7084648358377691,Low Risk,Expert,Low"
"58,66289.0,15640.0,597.0,18,Male,High School,Houston,Salaried,0,4.238427109974425,High Risk,Senior,High"
"45,65828.0,21761.0,552.0,37,Male,Phd,Chicago,Self-Employed,0,3.025044804926244,High Risk,Expert,High"
"24,50007.0,27820.0,704.0,30,Female,Phd,San Francisco,Unemployed,0,1.7975197699496765,Low Risk,Expert,Medium"
"26,30542.0,19213.0,791.0,38,Female,Phd,San Francisco,Self-Employed,0,1.5896528392234424,Low Risk,Expert,Medium"
"25,65228.0,18512.0,656.0,14,Male,Bachelors,Chicago,Unemployed,0,3.523552290406223,Low Risk,Senior,High"
"29,46382.0,24712.0,727.0,31,Male,Phd,Houston,Salaried,1,1.8769019100032374,Low Risk,Expert,Medium"
"51,58233.0,17836.0,514.0,28,Female,Bachelors,New York,Unemployed,0,3.2649136577708004,High Risk,Expert,Medium"
"50,83288.0,29140.0,679.0,33,Male,High School,San Francisco,Self-Employed,1,2.8582017844886756,Low Risk,Expert,High"
"65,53778.0,36214.0,513.0,8,Female,Phd,San Francisco,Salaried,0,1.4850057988623184,High Risk,Mid,Medium"
"40,49488.0,12856.0,397.0,34,Male,Phd,New York,Unemployed,0,3.849408836341008,High Risk,Expert,Medium"
"41,44964.0,10000.0,827.0,5,Male,Phd,San Francisco,Unemployed,0,4.4964,Low Risk,Junior,Medium"
"54,38158.0,22974.0,827.0,36,Male,High School,New York,Salaried,0,1.6609210411769826,Low Risk,Expert,Medium"
"52,56502.0,9716.0,834.0,13,Female,Bachelors,New York,Unemployed,0,5.815356113627007,Low Risk,Senior,Medium"
"61,37909.0,9579.0,848.0,8,Female,Masters,Houston,Salaried,0,3.9575112224658104,Low Risk,Mid,Medium"
"57,49488.0,3606.0,627.0,18,Male,High School,New York,Unemployed,0,13.72379367720466,Low Risk,Senior,Medium"
"39,30734.0,16942.0,464.0,22,Male,High School,New York,Salaried,0,1.8140715381891157,High Risk,Expert,Medium"
"44,48019.0,19736.0,415.0,27,Female,High School,New York,Unemployed,0,2.43306647750304,High Risk,Expert,Medium"
"52,52651.0,15861.0,449.0,15,Female,Bachelors,New York,Salaried,0,3.3195258810919865,High Risk,Senior,Medium"
"18,9728.0,31123.0,817.0,25,Male,Bachelors,San Francisco,Salaried,0,0.31256626931851045,Low Risk,Expert,Low"
"52,53894.0,30527.0,331.0,37,Female,Bachelors,New York,Unemployed,0,1.7654535329380547,High Risk,Expert,Medium"
"54,49314.0,35431.0,592.0,39,Female,Bachelors,San Francisco,Salaried,0,1.3918320115153398,High Risk,Expert,Medium"
"64,38525.0,20372.0,476.0,24,Male,Bachelors,Chicago,Unemployed,0,1.8910759866483409,High Risk,Expert,Medium"
"31,80429.0,29471.0,360.0,34,Male,Phd,Chicago,Unemployed,0,2.729089613518374,High Risk,Expert,High"
"20,64377.0,22471.0,715.0,4,Female,Masters,New York,Unemployed,0,2.86489252814739,Low Risk,Junior,High"
"18,33554.0,21667.0,579.0,6,Female,Masters,Houston,Salaried,0,1.5486223288872478,High Risk,Mid,Medium"
"22,62574.0,16261.0,306.0,22,Male,Bachelors,Houston,Unemployed,0,3.8481028227046306,High Risk,Expert,High"
"43,68667.0,1895.0,384.0,24,Female,Bachelors,San Francisco,Salaried,0,36.23588390501319,High Risk,Expert,High"
"31,51980.0,25098.0,697.0,0,Male,Phd,San Francisco,Self-Employed,1,2.0710813610646266,Low Risk,,Medium"
"56,55422.0,29233.0,692.0,21,Male,Bachelors,Chicago,Self-Employed,1,1.8958711045735983,Low Risk,Expert,Medium"
"44,49488.0,7795.0,346.0,3,Female,Phd,San Francisco,Self-Employed,0,6.34868505452213,High Risk,Junior,Medium"
"26,18713.0,19922.0,640.0,27,Male,Phd,Houston,Unemployed,0,0.9393133219556269,Low Risk,Expert,Low"
"32,47197.0,27933.0,579.0,13,Male,High School,Chicago,Salaried,0,1.6896502344896718,High Risk,Senior,Medium"
"32,46416.0,17124.0,777.0,32,Male,High School,New York,Unemployed,0,2.710581639803784,Low Risk,Expert,Medium"
"43,71452.0,29545.0,725.0,3,Male,Bachelors,San Francisco,Salaried,1,2.4184125909629377,Low Risk,Junior,High"
"59,55006.0,18878.0,725.0,10,Male,Phd,New York,Self-Employed,1,2.9137620510647313,Low Risk,Mid,Medium"
"30,45536.0,15799.0,814.0,38,Female,Bachelors,San Francisco,Self-Employed,1,2.882207734666751,Low Risk,Expert,Medium"
"68,48648.0,30002.0,428.0,31,Male,High School,Houston,Self-Employed,0,1.621491900539964,High Risk,Expert,Medium"
"49,65351.0,12530.0,548.0,3,Male,High School,San Francisco,Unemployed,0,5.215562649640862,High Risk,Junior,High"
"56,47231.0,14201.0,430.0,0,Male,High School,Houston,Unemployed,0,3.3258925427786776,High Risk,,Medium"
"66,39527.0,12836.0,622.0,25,Female,High School,Houston,Salaried,0,3.07938610158928,Low Risk,Expert,Medium"
"69,45864.0,10859.0,842.0,32,Male,High School,New York,Salaried,1,4.223593332719403,Low Risk,Expert,Medium"
"49,64110.0,21224.0,365.0,16,Male,Bachelors,San Francisco,Self-Employed,0,3.0206370147003394,High Risk,Senior,High"
"21,57442.0,15897.0,400.0,26,Male,Bachelors,New York,Unemployed,0,3.613386173491854,High Risk,Expert,Medium"
"47,50664.0,23909.0,330.0,4,Male,High School,Houston,Unemployed,0,2.1190346731356393,High Risk,Junior,Medium"
"54,52873.0,6123.0,490.0,6,Female,Bachelors,Houston,Salaried,0,8.635146170178018,High Risk,Mid,Medium"
"40,41604.0,11020.0,714.0,24,Female,High School,Houston,Salaried,1,3.775317604355717,Low Risk,Expert,Medium"
"56,47091.0,20413.0,799.0,7,Male,High School,Houston,Unemployed,0,2.306912261793955,Low Risk,Mid,Medium"
"62,40050.0,31757.0,345.0,33,Female,Bachelors,Chicago,Unemployed,0,1.2611392763800107,High Risk,Expert,Medium"
"32,45578.0,23028.0,388.0,3,Female,Bachelors,Houston,Salaried,0,1.9792426611082161,High Risk,Junior,Medium"
"60,70193.0,15285.0,674.0,11,Female,Bachelors,San Francisco,Unemployed,0,4.592280013084723,Low Risk,Senior,High"
"46,33832.0,8084.0,545.0,30,Male,Phd,Houston,Unemployed,0,4.185056902523503,High Risk,Expert,Medium"
"53,39669.0,14817.0,556.0,10,Male,Bachelors,Chicago,Self-Employed,0,2.6772626037659446,High Risk,Mid,Medium"
"30,31186.0,19660.0,651.0,36,Male,Bachelors,San Francisco,Unemployed,0,1.5862665310274668,Low Risk,Expert,Medium"
"49,27936.0,1138.0,579.0,35,Male,Masters,Chicago,Unemployed,0,24.548330404217925,High Risk,Expert,Low"
"24,47198.0,10293.0,636.0,21,Male,High School,Chicago,Unemployed,0,4.585446419897018,Low Risk,Expert,Medium"
"68,40736.0,14100.0,825.0,0,Male,High School,San Francisco,Salaried,1,2.8890780141843972,Low Risk,,Medium"
"39,76425.0,17941.0,600.0,3,Female,Bachelors,Chicago,Self-Employed,0,4.259795997993423,Low Risk,Junior,High"
"45,45757.0,19565.0,376.0,35,Female,Bachelors,Houston,Salaried,0,2.3387170968566315,High Risk,Expert,Medium"
"19,69341.0,15113.0,810.0,7,Female,Phd,New York,Self-Employed,1,4.588169125918084,Low Risk,Mid,High"
"59,64520.0,24047.0,529.0,24,Female,Masters,New York,Self-Employed,0,2.6830789703497318,High Risk,Expert,High"
"62,46866.0,20998.0,331.0,27,Female,High School,New York,Unemployed,0,2.2319268501762073,High Risk,Expert,Medium"
"23,81652.0,17039.0,357.0,37,Male,High School,San Francisco,Self-Employed,0,4.792065262045894,High Risk,Expert,High"
"45,54028.0,25150.0,403.0,35,Male,Bachelors,San Francisco,Self-Employed,0,2.148230616302187,High Risk,Expert,Medium"
"45,72695.0,24496.0,611.0,35,Female,Bachelors,San Francisco,Unemployed,0,2.9676273677335074,Low Risk,Expert,High"
"61,70949.0,8370.0,366.0,3,Male,Masters,New York,Unemployed,0,8.47658303464755,High Risk,Junior,High"
"61,56220.0,19744.0,673.0,12,Male,High School,New York,Self-Employed,1,2.847447325769854,Low Risk,Senior,Medium"
"37,61267.0,27122.0,534.0,37,Male,Masters,San Francisco,Salaried,0,2.258941081041221,High Risk,Expert,High"
"47,59361.0,28460.0,411.0,24,Male,High School,New York,Self-Employed,0,2.085769501054111,High Risk,Expert,Medium"
"28,32836.0,22967.0,688.0,2,Male,Bachelors,Chicago,Salaried,0,1.4297034876126617,Low Risk,Fresher,Medium"
"45,50859.0,18134.0,707.0,31,Female,Masters,Chicago,Salaried,1,2.8046211536340575,Low Risk,Expert,Medium"
"42,66114.0,23371.0,579.0,38,Female,Phd,New York,Self-Employed,0,2.8288905053271147,High Risk,Expert,High"
"56,72893.0,26462.0,538.0,0,Female,Bachelors,San Francisco,Salaried,0,2.754629279721865,High Risk,,High"
"50,39190.0,20927.0,594.0,10,Male,Phd,Houston,Self-Employed,0,1.8727003392746213,High Risk,Mid,Medium"
"18,49488.0,21829.0,411.0,1,Male,Phd,Houston,Salaried,0,2.26707590819552,High Risk,Fresher,Medium"
"44,49488.0,18002.0,387.0,4,Male,Phd,New York,Salaried,0,2.7490278857904675,High Risk,Junior,Medium"
"69,48232.0,9306.0,775.0,21,Male,High School,Houston,Self-Employed,1,5.182892757360842,Low Risk,Expert,Medium"
"30,55340.0,18605.0,603.0,12,Female,Phd,San Francisco,Unemployed,0,2.974469228701962,Low Risk,Senior,Medium"
"58,49488.0,14583.0,604.0,22,Male,High School,Chicago,Unemployed,0,3.393540423781115,Low Risk,Expert,Medium"
"20,58121.0,14609.0,589.0,30,Female,Masters,Chicago,Self-Employed,0,3.9784379492093915,High Risk,Expert,Medium"
"56,71626.0,31471.0,507.0,34,Female,Bachelors,San Francisco,Self-Employed,0,2.2759365765307744,High Risk,Expert,High"
"23,61762.0,27612.0,669.0,37,Female,High School,Houston,Unemployed,0,2.2367811096624655,Low Risk,Expert,High"
"25,54659.0,6452.0,519.0,34,Female,High School,New York,Unemployed,0,8.471636701797893,High Risk,Expert,Medium"
"44,77969.0,11321.0,530.0,12,Male,Masters,Chicago,Salaried,0,6.887112445897006,High Risk,Senior,High"
"26,66649.0,17092.0,648.0,6,Male,Masters,Houston,Salaried,1,3.8994266323426165,Low Risk,Mid,High"
"54,48614.0,14875.0,554.0,4,Female,Bachelors,Houston,Salaried,0,3.268168067226891,High Risk,Junior,Medium"
"50,31743.0,22539.0,751.0,28,Male,Masters,Chicago,Unemployed,0,1.4083588446692399,Low Risk,Expert,Medium"
"68,35183.0,10051.0,441.0,7,Male,High School,Chicago,Self-Employed,0,3.50044771664511,High Risk,Mid,Medium"
"59,63998.0,27668.0,368.0,7,Male,Bachelors,New York,Salaried,0,2.3130692496747143,High Risk,Mid,High"
"61,40545.0,19648.0,388.0,6,Female,Bachelors,San Francisco,Self-Employed,0,2.0635688110749184,High Risk,Mid,Medium"
"41,34879.0,17276.0,435.0,18,Female,Bachelors,Houston,Unemployed,0,2.0189279925908776,High Risk,Senior,Medium"
"32,38629.0,19885.0,822.0,38,Female,Phd,New York,Salaried,0,1.9426200653759116,Low Risk,Expert,Medium"
"49,39689.0,16660.0,741.0,22,Female,Phd,Chicago,Unemployed,0,2.3822929171668665,Low Risk,Expert,Medium"
"49,62760.0,3755.0,337.0,35,Female,High School,San Francisco,Self-Employed,0,16.713715046604527,High Risk,Expert,High"
"41,47649.0,20095.0,507.0,31,Female,Phd,San Francisco,Salaried,0,2.371186862403583,High Risk,Expert,Medium"
"58,29414.0,17434.0,509.0,3,Female,Masters,Houston,Self-Employed,0,1.6871630147986694,High Risk,Junior,Low"
"69,50466.0,12364.0,812.0,29,Male,Bachelors,San Francisco,Self-Employed,1,4.081688773859592,Low Risk,Expert,Medium"
"66,53334.0,28779.0,659.0,38,Female,High School,Chicago,Salaried,1,1.8532263108516627,Low Risk,Expert,Medium"
"66,42810.0,25356.0,300.0,4,Male,Masters,Chicago,Salaried,1,1.6883577851396119,High Risk,Junior,Medium"
"29,43686.0,26679.0,836.0,21,Male,Masters,New York,Salaried,1,1.637467671202069,Low Risk,Expert,Medium"
"56,66625.0,14853.0,693.0,27,Male,Phd,Chicago,Salaried,0,4.4856257995017845,Low Risk,Expert,High"
"19,58952.0,12754.0,349.0,21,Male,Masters,New York,Salaried,0,4.622236161204328,High Risk,Expert,Medium"
"20,63899.0,16046.0,695.0,21,Male,Phd,Chicago,Salaried,1,3.9822385641281315,Low Risk,Expert,High"
"66,33522.0,14667.0,331.0,33,Female,Bachelors,Chicago,Salaried,0,2.2855389650235223,High Risk,Expert,Medium"
"54,51475.0,20870.0,844.0,28,Female,High School,San Francisco,Unemployed,0,2.466459032103498,Low Risk,Expert,Medium"
"66,49208.0,7690.0,533.0,12,Female,Phd,Houston,Self-Employed,0,6.3989596879063715,High Risk,Senior,Medium"
"34,28670.0,25178.0,325.0,6,Female,Phd,Chicago,Unemployed,0,1.1386925093335452,High Risk,Mid,Low"
